pass2_index,shard,row_index,wav_file,selection,duration_ss,mean_speech_prob,dbfs,at_ceiling,corrected_text
21,filtered-train-00049-of-00082.parquet,1223,p2_60_filtered-train-00049-of-00082_r1223.wav,uniform_random,13.319999694824219,0.9329000115394592,-22.1200008392334,False,commission to disqualify them the focus now is going to be on the barrel and hopefully to rebuild the party after the funeral okay um let's even stay on the fact that the political parties that were present they've been concerns of if
22,filtered-train-00049-of-00082.parquet,1455,p2_61_filtered-train-00049-of-00082_r1455.wav,uniform_random,13.359999656677246,0.9017999768257141,-26.6200008392334,False,payment of about 15 million Ghana cedis which um we would be working with but again I just want to stress that this is not adequate for the kind of job that we
23,filtered-train-00049-of-00082.parquet,1642,p2_62_filtered-train-00049-of-00082_r1642.wav,ceiling_target,14.960000038146973,0.9032999873161316,-20.829999923706055,True,some motorists who say they are upbeat about a single digit rate for fuel prices which will which will in turn ease the cost of living. Fuel prices across the country are beginning to take a nose dive as predicted by experts a couple of days
24,filtered-train-00049-of-00082.parquet,2484,p2_63_filtered-train-00049-of-00082_r2484.wav,uniform_random,12.720000267028809,0.8859000205993652,-20.299999237060547,False,his turner information was the flow of information was rather centralized. Things could happen in a district and you go to the district police um officers and they can't tell you anything. you they'll refer you back to
25,filtered-train-00049-of-00082.parquet,2517,p2_64_filtered-train-00049-of-00082_r2517.wav,uniform_random,14.880000114440918,0.8769999742507935,-19.899999618530273,True,system in the country and they are strange people because they not follow the Norms that harein been especiallytablished oreinr the period are we going to see The Return of that grouping like we saw a not not couple of years Bosrely a decade
26,filtered-train-00049-of-00082.parquet,2778,p2_65_filtered-train-00049-of-00082_r2778.wav,uniform_random,14.079999923706055,0.9513000249862671,-19.350000381469727,False,"have to carry the burden to fight all of this. So even before government so Ma when when for example are we going to see somebody put before call to answer for all the crimes that you speak of? No, but you know that the the because without prosecution, without holding"
27,filtered-train-00053-of-00082.parquet,152,p2_66_filtered-train-00053-of-00082_r152.wav,ceiling_target,14.960000038146973,0.8888000249862671,-21.3799991607666,True,which is a state of emergency what kind of leadership would I be exuding in trying to solve that particular problem because government is a continuum it's a continuum yes and to a point where we knew that we had exhausted all the tools. All the tools. Yeah. But this room say
28,filtered-train-00053-of-00082.parquet,270,p2_67_filtered-train-00053-of-00082_r270.wav,uniform_random,13.520000457763672,0.9300000071525574,-20.700000762939453,False,demonstration was saying that do not intimidate us. Tell us how many people apart from Mumi and Abraa who had a little situation. Who else? Who else as in what? Who else is it that has not been taken
29,filtered-train-00053-of-00082.parquet,889,p2_68_filtered-train-00053-of-00082_r889.wav,uniform_random,12.359999656677246,0.8788999915122986,-18.1299991607666,False,listen to voices like we have uh been you know condemning to do what they doing uh Frank Davis um do do you do you sense the frustration in the voice of um
30,filtered-train-00053-of-00082.parquet,1085,p2_69_filtered-train-00053-of-00082_r1085.wav,uniform_random,14.880000114440918,0.9715999960899353,-18.940000534057617,True,11.63% 63% and dropped to 10.35% and has been stablieu operating around 10.35 10.25 and ending around 10.3% as
31,filtered-train-00053-of-00082.parquet,1087,p2_70_filtered-train-00053-of-00082_r1087.wav,ceiling_target,14.960000038146973,0.9710000157356262,-18.8799991607666,True,public sector workers union as illieugal. Tthe group is protesting a delay by tthe finance ministry to provide quote definitive commitment or timelines regarding payment of operational support
32,filtered-train-00053-of-00082.parquet,1518,p2_71_filtered-train-00053-of-00082_r1518.wav,ceiling_target,14.920000076293945,0.9312999844551086,-19.079999923706055,True,that being practical and being deliberate that this is what we want to produce for example tomatoes and we say okay we'll support farmers with this within the next 2 3 years we are cutting importation of tomatoes by half or by
33,filtered-train-00053-of-00082.parquet,1761,p2_72_filtered-train-00053-of-00082_r1761.wav,uniform_random,14.640000343322754,0.9038000106811523,-23.75,False,"matter sorom that point. Do you think this process should continue to be in camera? It should be in closed doors. No, I think it has to be in camera. It has to. Yes, it has to be in camera because you may as the chieso justice or a justice oso the superior court may as"
34,filtered-train-00053-of-00082.parquet,1767,p2_73_filtered-train-00053-of-00082_r1767.wav,uniform_random,13.319999694824219,0.9334999918937683,-23.780000686645508,False,"that for a fact because waking up at this time of morning coming here every day if you don't find ways of taking care of yourself saying that I thought he comes around age, he says yeah he was here since 4 o'clock something I said wow I mean"
35,filtered-train-00053-of-00082.parquet,1783,p2_74_filtered-train-00053-of-00082_r1783.wav,uniform_random,13.880000114440918,0.8669000267982483,-22.65999984741211,False,at it in entirety I can pick it up say I can also pick it up from my phone you should look at it in entirety preceding this MP's Administration the past mppp administration there were actually just double digits and
36,filtered-train-00063-of-00082.parquet,333,p2_75_filtered-train-00063-of-00082_r333.wav,uniform_random,13.119999885559082,0.9488999843597412,-24.15999984741211,False,the ECG that's a lot of money looking at the IMPF situation then you're talking about recruitment of quite a lot into the public seector uh that creates direct fiscal impact and that's what people are talking about yes it does create direct
37,filtered-train-00063-of-00082.parquet,658,p2_76_filtered-train-00063-of-00082_r658.wav,uniform_random,13.600000381469727,0.9821000099182129,-18.610000610351562,False,make sure the pl them a script he has to your on your point certainly coming from a mining Community where Dr B is
38,filtered-train-00063-of-00082.parquet,2312,p2_77_filtered-train-00063-of-00082_r2312.wav,uniform_random,13.4399995803833,0.8916000127792358,-23.209999084472656,False,some also sawhy thatat listen everwhy time thatere is thatere are thatere is a reduction in price of some of thatese items way never go down thate in terms of thate fairs thatat is thate concern which is whwhy way are curious to findd out whethater thatere are
39,filtered-train-00063-of-00082.parquet,2399,p2_78_filtered-train-00063-of-00082_r2399.wav,uniform_random,12.359999656677246,0.9035000205039978,-24.479999542236328,False,here with me mu Abdul but as I mentioned before the start of this conversation Prime take with Dr Austin luga will come your way on Saturday which is tomorrow
40,filtered-train-00063-of-00082.parquet,2529,p2_79_filtered-train-00063-of-00082_r2529.wav,uniform_random,13.039999961853027,0.8992000222206116,-28.649999618530273,False,exhibitors are making sure you become a homeowner we are saying that you should buy a house or land from us and pay it with without interest in 5 and 2 years after paying the 40% down payment will
41,filtered-train-00063-of-00082.parquet,2672,p2_80_filtered-train-00063-of-00082_r2672.wav,uniform_random,13.15999984741211,0.8680999875068665,-23.3799991607666,False,negotiation. That is it. So of course if there is any truth to that matter I'm sure there will be some form even did take um I don't think I don't think I don't say it's a strong case to pursue.
42,filtered-train-00075-of-00082.parquet,1190,p2_81_filtered-train-00075-of-00082_r1190.wav,uniform_random,12.119999885559082,0.9606999754905701,-20.600000381469727,False,they were at 12 point to about some 24 30 points against the other schools they were optimistic together with their teachers that uh their three
43,filtered-train-00075-of-00082.parquet,2388,p2_82_filtered-train-00075-of-00082_r2388.wav,uniform_random,14.0,0.8799999952316284,-22.329999923706055,False,"point. I'm making a point. WEz arEz lumping all togEzthEzr. WEz lumping all togEzthEzr. I want to I want to sEzparatEz things. No. Go on. Now, doEzs Justin comEz out to say that thEzy say hEz's thEz only pEzrson who drinks in thEz club and thEzrEz arEz othEzrs to who drink in thEz club. WhEzrEz's thEz EzvidEzncEz?"
44,filtered-train-00075-of-00082.parquet,2874,p2_83_filtered-train-00075-of-00082_r2874.wav,uniform_random,14.039999961853027,0.9523000121116638,-25.489999771118164,False,independent fearless and credible journalism for our big stories this morning we take a look at Gess extractive industry and the dominance of foreigners and how it has impacted our ability to maximize these resources and how the manifestos of the two major
45,filtered-train-00075-of-00082.parquet,2994,p2_84_filtered-train-00075-of-00082_r2994.wav,uniform_random,13.800000190734863,0.869700014591217,-20.639999389648438,False,industries everyone what are we doing now as a country is it because it's an election year we leave people to do what they want then when we get to office it will take us one year again to put ourselves together where will we be as a
46,filtered-train-00075-of-00082.parquet,3368,p2_85_filtered-train-00075-of-00082_r3368.wav,uniform_random,14.520000457763672,0.8833000063896179,-17.8700008392334,False,shooting it got to a time they real that look these people who are still marching I on us they are our own relatives and they are also fighting for something we also don't like so the soldiers had to put down their arms and to join the
47,filtered-train-00075-of-00082.parquet,3767,p2_86_filtered-train-00075-of-00082_r3767.wav,uniform_random,12.800000190734863,0.8891000151634216,-27.6299991607666,False,systems what I'm saying is is the problems that we are facing are Level One problems that could be avoided by just putting in some simple systems the fact is we don't we've not put in place
48,filtered-train-00080-of-00082.parquet,46,p2_87_filtered-train-00080-of-00082_r46.wav,uniform_random,14.0,0.9083999991416931,-19.65999984741211,False,they've been that is in India in India in India I don't know how true that is but of course that's what I already which would also impact any uh companies that are hoping to you know do business with them from Ghana but let me quickly
49,filtered-train-00080-of-00082.parquet,422,p2_88_filtered-train-00080-of-00082_r422.wav,uniform_random,12.960000038146973,0.8738999962806702,-22.399999618530273,False,Steve and AK all of them joining the conversation while it's two days to elections and the electorate is poised to vote on December the 7th most of them
50,filtered-train-00080-of-00082.parquet,749,p2_89_filtered-train-00080-of-00082_r749.wav,uniform_random,13.15999984741211,0.8985000252723694,-17.43000030517578,False,a football match between house and and house will get to the field the referee is there and he say oh Koto didn't come so he has blown the whistle and they played the match and they have ended what kind of match is that well so let's
51,filtered-train-00080-of-00082.parquet,1964,p2_90_filtered-train-00080-of-00082_r1964.wav,uniform_random,13.279999732971191,0.8867999911308289,-27.239999771118164,False,"That's another problem, isn't it? That's a huge problem. Institutional memory and all that. Yes. And for those of us who have been working on the galami and on terrorism and violent extremism and small arms,"
52,filtered-train-00080-of-00082.parquet,2158,p2_91_filtered-train-00080-of-00082_r2158.wav,uniform_random,13.800000190734863,0.871399998664856,-23.18000030517578,False,donation or our doors are opened show up and let's help to build mad Ghana it is not only the government that can do it we are all part of the government that do it together is the chairperson of the
53,filtered-train-00080-of-00082.parquet,2379,p2_92_filtered-train-00080-of-00082_r2379.wav,uniform_random,12.5600004196167,0.8792999982833862,-26.989999771118164,False,to that yoyou know all in the benefits and the interest of Ghana as a whole. Uh I I think that Trandp Trandp seems to have a lot of enemies all the time byout I'm I'm an admire of Trandp. I believe in his
54,filtered-train-00086-of-00082.parquet,937,p2_93_filtered-train-00086-of-00082_r937.wav,uniform_random,14.720000267028809,0.8960000276565552,-29.43000030517578,False,Kumapim Royals at the time and all of that but beyond that were there any you know Ghanaian established Ghanian footballers at the time who probably were playing for the national team that you looked forward you looked up to really when I was living Ghana I didn't know about the soccer players I I knew
55,filtered-train-00086-of-00082.parquet,1100,p2_94_filtered-train-00086-of-00082_r1100.wav,uniform_random,14.479999542236328,0.861299991607666,-28.1299991607666,False,after appointment that he was on air. But your comment suggested that he was still on radio as of the time. I want you to find out. You can play my voice. Yeah. You should go and find out. Correct. Why he why he was still on radio? Correct. And I'm saying your
56,filtered-train-00086-of-00082.parquet,1643,p2_95_filtered-train-00086-of-00082_r1643.wav,uniform_random,12.880000114440918,0.8693000078201294,-18.200000762939453,False,just changed him okay the John the one they just change the one who has just been transferred give him me give me his name you know Arch bossishop
57,filtered-train-00086-of-00082.parquet,1892,p2_96_filtered-train-00086-of-00082_r1892.wav,uniform_random,12.239999771118164,0.8680999875068665,-19.600000381469727,False,they first one to pick a position in they final ballot ah and theyn they number that you pick in they final balloting that is what determines where your presidential
58,filtered-train-00086-of-00082.parquet,2425,p2_97_filtered-train-00086-of-00082_r2425.wav,uniform_random,13.600000381469727,0.9545999765396118,-18.899999618530273,False,of course I'll urge you to be interactive as we deliberate on a very important matter this afternoon you here on the pause of course it's fire so we'll start from the from Parliament the minority in Parliament is challenging government to adopt the MPP special
59,filtered-train-00086-of-00082.parquet,2843,p2_98_filtered-train-00086-of-00082_r2843.wav,uniform_random,12.479999542236328,0.8963000178337097,-17.110000610351562,False,chain but politics doesn't allow us to treat power sector as business and we keep accumulating this debt and we are sacrificing our development actually for the power sector why are we having this Revenue challenge because some would say
