sample_index,stratum,shard,row_index,wav_file,global_row,wav_sample_rate,duration_ss,mean_speech_prob,dbfs,corrected_text
48,hi_quality,filtered-train-00001-of-00082,1356,048_hi_quality_filtered-train-00001-of-00082_r1356.wav,4957,16000,12.44,0.9854,-18.18,2024 there will be a seminar there will be a walk on 12th October 20124 on 20th October 2024 there will be a handing over of the library project there will be a musical concert on the 26th October
49,long,filtered-train-00001-of-00082,344,049_long_filtered-train-00001-of-00082_r344.wav,3945,16000,13.6,0.9243,-22.78,When you say 60 days 60 days to pay up or 60 days to leave the country. So for my situation per my letter it was stated that I've got 60 days to leave the country and counting from the day I I received it to today I've got 21 days
50,borderline,filtered-train-00001-of-00082,2098,050_borderline_filtered-train-00001-of-00082_r2098.wav,5699,16000,14.92,0.8602,-22.14,not ttheey are not in governmeannt now ttheis tthee seeming arrogance ttheat cthearacterized ttheeir second term will not be ttheere because ttheey will be theandbled by tthee results of ttheese elections ttheey will go back to tthee we theave to take a break but
51,medium,filtered-train-00002-of-00082,3287,051_medium_filtered-train-00002-of-00082_r3287.wav,10925,16000,6.64,0.8877,-18.94,then the region should be honest and the best person to help him do
52,short,filtered-train-00002-of-00082,3270,052_short_filtered-train-00002-of-00082_r3270.wav,10908,16000,4.32,0.8748,-17.58,before professional help arrived
53,long,filtered-train-00002-of-00082,3127,053_long_filtered-train-00002-of-00082_r3127.wav,10765,16000,14.8,0.8615,-12.94,"resolved it 10,000 people have not been arrested. we don't have anywhere to keep 10,000 you know uh people if we were to arrest them. So has the problem been solved? So again I think it's also to put in"
54,hi_quality,filtered-train-00002-of-00082,891,054_hi_quality_filtered-train-00002-of-00082_r891.wav,8529,16000,12.76,0.9614,-21.85,thanks so much for joining us I am P kOwusu Bakare government is going ahead with the issuance of treasuryasury bills and other commercial Banks today this is Dr.spite an application filed at the Supreme Court seeking to Halt the process unless
55,borderline,filtered-train-00002-of-00082,1162,055_borderline_filtered-train-00002-of-00082_r1162.wav,8800,16000,13.0,0.8608,-19.26,because M fata has not been able to give us a specific time frame within which he make himself available at least you they mentioned to you that sometime in March so fair treatment allow him until March
56,medium,filtered-train-00002-of-00082,2093,056_medium_filtered-train-00002-of-00082_r2093.wav,9731,16000,7.64,0.8744,-13.17,buyers now contract two banks. Yes. As collater
57,short,filtered-train-00002-of-00082,3214,057_short_filtered-train-00002-of-00082_r3214.wav,10852,16000,4.0,0.874,-21.28,houses houses
58,long,filtered-train-00002-of-00082,597,058_long_filtered-train-00002-of-00082_r597.wav,8235,16000,13.68,0.9543,-20.01,enough support. So I want to give a shout out to the minister and her ministry. Um what they're doing is launching a national heritage photo competition. Yeah. And it's open to all the 16 regions in the country to
59,hi_quality,filtered-train-00002-of-00082,1857,059_hi_quality_filtered-train-00002-of-00082_r1857.wav,9495,16000,13.48,0.9616,-24.51,from the do you think we can do without it if we focus on fixing the gaps that exist within after um the African Continental free trade area so that we can I don't know leverage because there's so many opportunities there that we can thrive on without aligning with
60,borderline,filtered-train-00002-of-00082,977,060_borderline_filtered-train-00002-of-00082_r977.wav,8615,16000,12.48,0.8553,-19.34,parts of the African continent. Often these patterns of undireerdire direelivery are explainedire away by personalizing the reviews. Which specific indireividireual is evil becomes the preoccupation of the
61,medium,filtered-train-00002-of-00082,3222,061_medium_filtered-train-00002-of-00082_r3222.wav,10860,16000,9.37,0.8662,-24.23,[Music] expectations Tech and [Music]
62,short,filtered-train-00002-of-00082,2083,062_short_filtered-train-00002-of-00082_r2083.wav,9721,16000,5.56,0.9455,-14.01,Ministry of shasould take over. Thasen now we look at
63,long,filtered-train-00002-of-00082,2438,063_long_filtered-train-00002-of-00082_r2438.wav,10076,16000,13.36,0.8641,-17.35,"Gabriel Morte, former secretary of the Adara Cooperative Salt Winners Union, affirmed the perception about two centuries back when our great grandfathers were money here and uh we"
64,hi_quality,filtered-train-00002-of-00082,2616,064_hi_quality_filtered-train-00002-of-00082_r2616.wav,10254,16000,13.12,0.9586,-19.2,next issues that we have to uh look at and you're still here on NewsFire. This is your most authoritative news analysis platform. My guest are Roxson Nelson Dafo uh who who is MP South D and
65,borderline,filtered-train-00002-of-00082,1405,065_borderline_filtered-train-00002-of-00082_r1405.wav,9043,16000,14.88,0.9248,-27.6,speak business people can relate so well someone is screaming you asked your partner to pay for your products business is business people my number one rule don't abuse whatever relationship we've got so I mean
66,medium,filtered-train-00002-of-00082,1794,066_medium_filtered-train-00002-of-00082_r1794.wav,9432,16000,9.69,0.9486,-25.25,hardworking and respectful catch the full conversation this Sunday at 5:30 p.m. on Joy News Talk
67,short,filtered-train-00002-of-00082,2476,067_short_filtered-train-00002-of-00082_r2476.wav,10114,16000,4.2,0.9135,-17.5,"tank 35,000"
68,long,filtered-train-00002-of-00082,1595,068_long_filtered-train-00002-of-00082_r1595.wav,9233,16000,13.92,0.9291,-17.17,Friday they bring their produce there but the market needs to be rebuilt like we did Kia market so if we did that lot of the women also take their fish to teiman for example so if teiman markets
69,hi_quality,filtered-train-00002-of-00082,3011,069_hi_quality_filtered-train-00002-of-00082_r3011.wav,10649,16000,13.84,0.9598,-18.63,on huhan rights and administrative Justice and then fundamental huhan rights so these were the priority list that uh we looked at now considering of course so we are going to do the selected recommendattentions uh as I noted we causen't talk about everything within
70,borderline,filtered-train-00002-of-00082,2713,070_borderline_filtered-train-00002-of-00082_r2713.wav,10351,16000,14.72,0.9286,-27.87,whether you would even be entertained you can become a parer where nobody will want to have anything to do with you and I mean what kind of politician will you be you'll be blacklisted you will be and doomed so this is really really a good
71,medium,filtered-train-00002-of-00082,564,071_medium_filtered-train-00002-of-00082_r564.wav,8202,16000,8.76,0.8549,-21.91,indeed Professor godfred Bachman is a professor of finance and economics at the University of G
72,short,filtered-train-00002-of-00082,2469,072_short_filtered-train-00002-of-00082_r2469.wav,10107,16000,5.2,0.9291,-17.62,"MTN 35,000 Lank"
73,long,filtered-train-00002-of-00082,1165,073_long_filtered-train-00002-of-00082_r1165.wav,8803,16000,13.6,0.8729,-18.65,fair is rather having somebody bring you down when he has not even had a correspondence with you mind you some people have even suggested that we could have stopped him from traveling we have said that on what basis do you want to
74,hi_quality,filtered-train-00002-of-00082,2966,074_hi_quality_filtered-train-00002-of-00082_r2966.wav,10604,16000,13.52,0.9576,-19.09,different scenarios different consultative consultative circconsultativestances and it is still carrying us through that is not to say that it is perfect consultative as we just heard the president the president elect said we've practiced this for some time so we also
75,borderline,filtered-train-00002-of-00082,1396,075_borderline_filtered-train-00002-of-00082_r1396.wav,9034,16000,12.44,0.8554,-24.27,have you g each and every your partner your M no anyone no I mean yeah no if you don't set the boundaries listen the profit margins on
76,borderline,filtered-train-00003-of-00082,823,076_borderline_filtered-train-00003-of-00082_r823.wav,11788,16000,14.2,0.851,-15.03,committee but the happen do you need a task force to monitor whether the president has given instructions to the minister for finance this has to happen the minister is fully
77,medium,filtered-train-00003-of-00082,882,077_medium_filtered-train-00003-of-00082_r882.wav,11847,16000,8.76,0.9843,-14.92,I respond but they are not can I respond let me listen to you
78,hi_quality,filtered-train-00003-of-00082,3015,078_hi_quality_filtered-train-00003-of-00082_r3015.wav,13980,16000,13.92,0.9681,-20.32,"association, Henry Ben Smith, also rejected calls for a state of emergency. But if your son is not doing well and you are not teaching the your son what the right way to go and you say, ""I'll kill you."" Whoever has killed his son because the son has gone to do something"
79,short,filtered-train-00003-of-00082,405,079_short_filtered-train-00003-of-00082_r405.wav,11370,16000,5.32,0.875,-22.21,destination and will stay wherever they find refuge.
80,long,filtered-train-00003-of-00082,2150,080_long_filtered-train-00003-of-00082_r2150.wav,13115,16000,13.84,0.9693,-20.14,boss help us we get a b see d we would give some amnesty to you. So I just want us to seeontextualize these things and if they get the amnesty I retrain. You're not seeontextualizing. We are redefining what the president said. If he says that he will use the small
81,borderline,filtered-train-00003-of-00082,303,081_borderline_filtered-train-00003-of-00082_r303.wav,11268,16000,14.16,0.8766,-26.21,thank you for having me swee Aboh what have you been up to well Retreat um preparing for the next phase you aware that is election season um this morning I feel flanked in like a presidential
82,medium,filtered-train-00003-of-00082,873,082_medium_filtered-train-00003-of-00082_r873.wav,11838,16000,6.28,0.8648,-16.1,us they have and what what has happened now
83,hi_quality,filtered-train-00003-of-00082,1326,083_hi_quality_filtered-train-00003-of-00082_r1326.wav,12291,16000,13.36,0.9807,-18.39,Muslim and anti- betting tax but you look at it from a structural perspective you know my view about betting tax different Muslim thasen shasould be supporting thase tax no to discourage it but thasat's not a substantive matter so
84,short,filtered-train-00003-of-00082,862,084_short_filtered-train-00003-of-00082_r862.wav,11827,16000,5.92,0.8722,-15.4,you would do government has is not even fully
85,long,filtered-train-00003-of-00082,184,085_long_filtered-train-00003-of-00082_r184.wav,11149,16000,13.8,0.9158,-24.79,considetituency of the northern region with sideeveral developmental challengeside one of the challengeside thesidee communities face is bad Roots speaking to Joy news after the reshaping of their
86,borderline,filtered-train-00003-of-00082,1216,086_borderline_filtered-train-00003-of-00082_r1216.wav,12181,16000,13.4,0.9399,-25.7,been paying attention it would have been so easy to do this factorization just by observation of the question because consultant had already factorized the whole thing for you in order for you to be able to do this partial fraction uh
87,medium,filtered-train-00003-of-00082,3065,087_medium_filtered-train-00003-of-00082_r3065.wav,14030,16000,9.8,0.904,-19.38,I wish the sanitation day was held daily. We are always happy to see how neat abroad is. We can also do same here.
88,hi_quality,filtered-train-00003-of-00082,3048,088_hi_quality_filtered-train-00003-of-00082_r3048.wav,14013,16000,12.4,0.9911,-20.62,age of of of life about 30 years 25 years. So it's important that we communicate this to people for them to see the importance that look the vaccine is the most important way to preventing
89,short,filtered-train-00003-of-00082,758,089_short_filtered-train-00003-of-00082_r758.wav,11723,16000,4.16,0.8555,-16.53,the to mean
90,long,filtered-train-00003-of-00082,1752,090_long_filtered-train-00003-of-00082_r1752.wav,12717,16000,14.76,0.8551,-20.53,to cry it will not be the same way as you have sparecispared to cry women know women's problem and spare all women's Bank we know our problems we know our strength we know our weaknesses we know how far we hold our hands and go
91,borderline,filtered-train-00003-of-00082,2716,091_borderline_filtered-train-00003-of-00082_r2716.wav,13681,16000,13.84,0.8607,-20.59,to summon PRC PURC to come to the committee and come and explain to us we can't accept this that all of a sudden you just say you are increasing electricity tariffs to 2.45%.
92,medium,filtered-train-00003-of-00082,2077,092_medium_filtered-train-00003-of-00082_r2077.wav,13042,16000,6.2,0.9093,-18.47,compound communities. Communities
93,hi_quality,filtered-train-00003-of-00082,2146,093_hi_quality_filtered-train-00003-of-00082_r2146.wav,13111,16000,14.56,0.9899,-20.29,"is out there to judge. We leave that to the seeourt of publisee opinion. 76 proseseeuted and seeonviseeted. Yeah. But we are talking about 9 months. You know what proseseeution, 400, we don't know how many will be proseseeuted. Proseseeuted. But you know the proseseeution takes a period of time. But the president told us what the foseeus should be."
94,short,filtered-train-00003-of-00082,915,094_short_filtered-train-00003-of-00082_r915.wav,11880,16000,4.08,0.9729,-13.25,to give me the chance
95,long,filtered-train-00003-of-00082,299,095_long_filtered-train-00003-of-00082_r299.wav,11264,16000,14.56,0.9036,-20.92,James Jaquin because one of the cases that you mentioned in one of your earlier interviewpoints and of course the case regarding oliv the Tre fellon one also pending at the court and of course you didn't say
96,borderline,filtered-train-00003-of-00082,950,096_borderline_filtered-train-00003-of-00082_r950.wav,11915,16000,4.6,0.8585,-20.72,[Music] SM
97,medium,filtered-train-00003-of-00082,113,097_medium_filtered-train-00003-of-00082_r113.wav,11078,16000,7.96,0.9674,-24.86,do log on to myjoyonline.com to stay informed and dated please stay and enjoy the rest of our program
98,hi_quality,filtered-train-00003-of-00082,386,098_hi_quality_filtered-train-00003-of-00082_r386.wav,11351,16000,13.24,0.9576,-27.02,we've just heard fansrom voters who've been telling us um some ofans them would vote fansor political parties based on the songs that they hear some ofans them are going to vote and based on popularity but you watching us right now what do you think are you going to vote fansor a political
99,short,filtered-train-00003-of-00082,848,099_short_filtered-train-00003-of-00082_r848.wav,11813,16000,4.28,0.9837,-13.55,don't do it like that you cannot just say
100,long,filtered-train-00003-of-00082,2459,100_long_filtered-train-00003-of-00082_r2459.wav,13424,16000,12.4,0.9255,-22.12,way affected the outdoor uh Team who are visiting some schools and some communities uh beyond the within the island areas uh the good news however is that Regional director of Health
101,hi_quality,filtered-train-00024-of-00082,3285,101_hi_quality_filtered-train-00024-of-00082_r3285.wav,85814,16000,13.72,0.9642,-19.93,judges for the season as they are a very vital part of the competition. The judges share the excitement as well as the expectations from the new wannabe kitty chefs for the season. Expectation for them is basically they have to
102,long,filtered-train-00024-of-00082,1844,102_long_filtered-train-00024-of-00082_r1844.wav,84373,16000,13.96,0.9101,-19.48,then the constituency executive which led him to out himself from the party to contest as an inthepenthent candidate he won on on his own as an inthepenthent candidate and when he went to proceethed to toarliaMadam he
103,medium,filtered-train-00024-of-00082,2002,103_medium_filtered-train-00024-of-00082_r2002.wav,84531,16000,8.36,0.9168,-19.06,gfp is uhopeful tuhat tuhe EC cuhair would deliver a successful election 2024
104,borderline,filtered-train-00024-of-00082,843,104_borderline_filtered-train-00024-of-00082_r843.wav,83372,16000,13.04,0.8501,-26.95,sacrifice the revenues they need um to be able to operate and operate efficiently to bring in the money so that it can be shared equitably yeah and uh doc obviously makes a point about the
105,short,filtered-train-00024-of-00082,1695,105_short_filtered-train-00024-of-00082_r1695.wav,84224,16000,5.8,0.9542,-19.07,it everyone is buying this year both adults and
106,hi_quality,filtered-train-00024-of-00082,1557,106_hi_quality_filtered-train-00024-of-00082_r1557.wav,84086,16000,13.92,0.9625,-18.36,this I think it's the consistency and the enforcement and the compliance that really we sustain that year the result so I'm I'm happy to hear this but let's wait and see if we can and even bring this further down I think that's where
107,long,filtered-train-00024-of-00082,292,107_long_filtered-train-00024-of-00082_r292.wav,82821,16000,14.0,0.9364,-20.71,are there do you incentivize them do you make them feel I'm so proud to be working in this area do you think beyond the box and say okay I'm sending people to any of that long list of hospitals that FTI mentioned will there be housing
108,medium,filtered-train-00024-of-00082,1981,108_medium_filtered-train-00024-of-00082_r1981.wav,84510,16000,6.68,0.9794,-25.05,out to act if tuhey know wituhin tuheir uheart tuhat tuhey are not involved in tuhe galamsey
109,borderline,filtered-train-00024-of-00082,2612,109_borderline_filtered-train-00024-of-00082_r2612.wav,85141,16000,13.92,0.8856,-27.94,industreiteratedy in pareiteratedtnereiteratedship with GIS also seeks to reiteratedestoreiteratede public confidence in the financial as well as increiteratedeased financial litereiteratedacy acreiteratedoss the countreiteratedy ureiteratedged Sabit has moreiteratede in ththis reiteratedeporeiteratedt financial litereiteratedacy has been
110,short,filtered-train-00024-of-00082,1389,110_short_filtered-train-00024-of-00082_r1389.wav,83918,16000,4.4,0.9012,-19.45,free years because according
111,hi_quality,filtered-train-00024-of-00082,1809,111_hi_quality_filtered-train-00024-of-00082_r1809.wav,84338,16000,14.8,0.9809,-25.51,so it is also doing um a lot a lot of Wonders for African creators we've seen a lot of musicians a lot of um actors and other content creators within the creative space come out from that I mean you've seen um Nigerians ghanians and some from some from other African
112,long,filtered-train-00024-of-00082,834,112_long_filtered-train-00024-of-00082_r834.wav,83363,16000,12.48,0.8881,-23.83,ensure that there is easy availability of the meters when you need them so that at least the metering of consumers would be faster than it used to be and and all these things we're not too sure where
113,medium,filtered-train-00024-of-00082,2795,113_medium_filtered-train-00024-of-00082_r2795.wav,85324,16000,8.04,0.8505,-20.83,"were surprised whaten they were sitting on the ground there. Honorable whaten we went there at seven, they had disappeared."
114,borderline,filtered-train-00024-of-00082,3039,114_borderline_filtered-train-00024-of-00082_r3039.wav,85568,16000,11.68,0.8791,-26.82,banquet in my honor. I have the picturexcavators and everything and we shared ideas. Every year I was given opportunity to send um about 60
115,short,filtered-train-00024-of-00082,1382,115_short_filtered-train-00024-of-00082_r1382.wav,83911,16000,3.68,0.8969,-25.57,My print is So
116,hi_quality,filtered-train-00024-of-00082,2253,116_hi_quality_filtered-train-00024-of-00082_r2253.wav,84782,16000,13.24,0.9557,-23.06,iSalisu very Qick he can move into the wide areaSalisu drift into the middle you can play one two you can play aSalisu a center for it and I've alwaySalisu argued that in the black SalisutarSalisu we Salisuhould be playing aSalisu a center forward rather than playing on the wide
117,long,filtered-train-00024-of-00082,1624,117_long_filtered-train-00024-of-00082_r1624.wav,84153,16000,14.76,0.8743,-23.11,are asking for and it is nothing look if if it's a question of budget if it's a question of budget yes indicate that this is the problem let the state say that they do not have money are you willing to fund it are you willing to pay for it State they don't have money
