listen_order,wav_file,stratum,shard,duration_ss,mean_speech_prob,dbfs,corrected_text,auto_flags,reason,notes
33,109_borderline_filtered-train-00024-of-00082_r2612.wav,borderline,filtered-train-00024-of-00082,13.92,0.8856,-27.94,industreiteratedy in pareiteratedtnereiteratedship with GIS also seeks to reiteratedestoreiteratede public confidence in the financial as well as increiteratedeased financial litereiteratedacy acreiteratedoss the countreiteratedy ureiteratedged Sabit has moreiteratede in ththis reiteratedeporeiteratedt financial litereiteratedacy has been,abrupt_end,,
34,107_long_filtered-train-00024-of-00082_r292.wav,long,filtered-train-00024-of-00082,14.0,0.9364,-20.71,are there do you incentivize them do you make them feel I'm so proud to be working in this area do you think beyond the box and say okay I'm sending people to any of that long list of hospitals that FTI mentioned will there be housing,abrupt_end,,
35,100_long_filtered-train-00003-of-00082_r2459.wav,long,filtered-train-00003-of-00082,12.4,0.9255,-22.12,way affected the outdoor uh Team who are visiting some schools and some communities uh beyond the within the island areas uh the good news however is that Regional director of Health,abrupt_start,,
37,095_long_filtered-train-00003-of-00082_r299.wav,long,filtered-train-00003-of-00082,14.56,0.9036,-20.92,James Jaquin because one of the cases that you mentioned in one of your earlier interviewpoints and of course the case regarding oliv the Tre fellon one also pending at the court and of course you didn't say,abrupt_start,,
39,088_hi_quality_filtered-train-00003-of-00082_r3048.wav,hi_quality,filtered-train-00003-of-00082,12.4,0.9911,-20.62,age of of of life about 30 years 25 years. So it's important that we communicate this to people for them to see the importance that look the vaccine is the most important way to preventing,possible_music,,
43,074_hi_quality_filtered-train-00002-of-00082_r2966.wav,hi_quality,filtered-train-00002-of-00082,13.52,0.9576,-19.09,different scenarios different consultative consultative circconsultativestances and it is still carrying us through that is not to say that it is perfect consultative as we just heard the president the president elect said we've practiced this for some time so we also,abrupt_end,,
44,073_long_filtered-train-00002-of-00082_r1165.wav,long,filtered-train-00002-of-00082,13.6,0.8729,-18.65,fair is rather having somebody bring you down when he has not even had a correspondence with you mind you some people have even suggested that we could have stopped him from traveling we have said that on what basis do you want to,abrupt_end,,
46,071_medium_filtered-train-00002-of-00082_r564.wav,medium,filtered-train-00002-of-00082,8.76,0.8549,-21.91,indeed Professor godfred Bachman is a professor of finance and economics at the University of G,abrupt_start,,
47,064_hi_quality_filtered-train-00002-of-00082_r2616.wav,hi_quality,filtered-train-00002-of-00082,13.12,0.9586,-19.2,next issues that we have to uh look at and you're still here on NewsFire. This is your most authoritative news analysis platform. My guest are Roxson Nelson Dafo uh who who is MP South D and,abrupt_end,,
48,062_short_filtered-train-00002-of-00082_r2083.wav,short,filtered-train-00002-of-00082,5.56,0.9455,-14.01,Ministry of shasould take over. Thasen now we look at,abrupt_start,,
49,060_borderline_filtered-train-00002-of-00082_r977.wav,borderline,filtered-train-00002-of-00082,12.48,0.8553,-19.34,parts of the African continent. Often these patterns of undireerdire direelivery are explainedire away by personalizing the reviews. Which specific indireividireual is evil becomes the preoccupation of the,abrupt_start,,
51,054_hi_quality_filtered-train-00002-of-00082_r891.wav,hi_quality,filtered-train-00002-of-00082,12.76,0.9614,-21.85,thanks so much for joining us I am P kOwusu Bakare government is going ahead with the issuance of treasuryasury bills and other commercial Banks today this is Dr.spite an application filed at the Supreme Court seeking to Halt the process unless,abrupt_end,,
53,044_long_filtered-train-00001-of-00082_r3283.wav,long,filtered-train-00001-of-00082,14.68,0.8997,-22.14,challenge us when we suggested he should not be saying that the matter is being blown out of proportion. As for his e you know knowledge in in the help that they will need no one has questioned that and that is why I'm surprised about,abrupt_start,,
54,039_long_filtered-train-00001-of-00082_r2099.wav,long,filtered-train-00001-of-00082,13.6,0.8736,-22.13,are your expectations of ttheis government about ttheose projects ttheat theave begun by tthee uthe tthee outgoing government all rigthet ttheank you very mucthe uthe I ttheink ttheat uthe listening to uthe candidate matheama uthe ttheey theave made,abrupt_end,,
56,034_long_filtered-train-00001-of-00082_r1536.wav,long,filtered-train-00001-of-00082,13.28,0.8723,-20.87,"I also went to Ivikos. There are Ghanaians that are living in Avos. So if our people can live somewhere, other people can also live here. So we are not against Africans or accepting Africans to come and be with us. What we are saying and what all your speakers",abrupt_start,,
57,033_hi_quality_filtered-train-00001-of-00082_r2918.wav,hi_quality,filtered-train-00001-of-00082,13.04,0.9564,-21.89,so far so good at least we we are we we have our eyes fixed on the ball so we are monitoring every process and then we are correcting and adjusting wherever there are issues and that's what we've been doing the whole of today I mean so let us understand what really are you,abrupt_end,,
58,029_long_filtered-train-00001-of-00082_r1343.wav,long,filtered-train-00001-of-00082,12.84,0.9642,-21.4,Jackie actually is on standby to bring us both the sadness and the excitement I'm excited for in font of him and very very sad for PR because my channel manager kop won't be a happy man today,abrupt_end,,
60,023_medium_filtered-train-00000-of-00082_r2474.wav,medium,filtered-train-00000-of-00082,7.24,0.9027,-21.02,symbol despite being artistic has meanings which communicates Ed symbol,abrupt_start,,
61,021_borderline_filtered-train-00000-of-00082_r2646.wav,borderline,filtered-train-00000-of-00082,13.04,0.9642,-29.84,this is an advice to all organizations you can't just go and implement or innovate you have to make sure the people that work the technology have also been trained I've always said that we need to have a more nationalistic view when it comes to customer service,abrupt_start,,
62,020_hi_quality_filtered-train-00000-of-00082_r1321.wav,hi_quality,filtered-train-00000-of-00082,13.76,0.97,-21.54,"solar energy solutions, Echo Bank has the right financing tailored to your lifestyle. From staying connected with the latest devices to embracing sustainable living, our flexible consumer loans, asset finance and salary",abrupt_start,,
63,017_long_filtered-train-00000-of-00082_r933.wav,long,filtered-train-00000-of-00082,13.04,0.8864,-21.62,ministry and with the personnel and just from the conversations few conversations that they've been having among themselves here appears to be that a lot of people had such confidence in his,abrupt_end,,
64,016_borderline_filtered-train-00000-of-00082_r3233.wav,borderline,filtered-train-00000-of-00082,13.2,0.9026,-26.51,address the threats destroying water sources and limited access to portable water facilities. The call came during the 40th anniversary celebration of water aid Ghana dubbed quote change,abrupt_start,,
65,014_medium_filtered-train-00000-of-00082_r3010.wav,medium,filtered-train-00000-of-00082,9.64,0.9508,-24.0,Thee delegatesheops sheopsheouldn't theink of theeir sheopselfisheopshe interesheopst. Thee country sheopsheould be put firsheopst and Dr. Educheum isheops a righet persheopson.,abrupt_start,,
66,012_long_filtered-train-00000-of-00082_r569.wav,long,filtered-train-00000-of-00082,14.64,0.8759,-22.49,"which we are marketing Kennedy or Odupon for the 20. Is that why you switched camp? No, I'm telling you you know. Yes. I laugh because the data I didn't because we were promised we're going to get",abrupt_end,,
67,005_hi_quality_filtered-train-00000-of-00082_r2056.wav,hi_quality,filtered-train-00000-of-00082,12.0,0.9777,-17.92,to Joy business chief executive of the Ghana Enterprises agency Margaret an appeal to financial institutions to Foster growth of women-owned businesses we are here to speak to our policy,abrupt_start,,
68,001_borderline_filtered-train-00000-of-00082_r166.wav,borderline,filtered-train-00000-of-00082,14.8,0.8601,-22.67,"all of us. So if we don't do that and we continue to do what we are doing that the road is constructed 3 days, 4 days, potholes have already started developing yet the person has been paid. contractor is not held accountable because somebody",abrupt_end,,
69,086_borderline_filtered-train-00003-of-00082_r1216.wav,borderline,filtered-train-00003-of-00082,13.4,0.9399,-25.7,been paying attention it would have been so easy to do this factorization just by observation of the question because consultant had already factorized the whole thing for you in order for you to be able to do this partial fraction uh,,,
71,030_borderline_filtered-train-00001-of-00082_r438.wav,borderline,filtered-train-00001-of-00082,14.08,0.8609,-18.06,er public good. So at the district assembly levels we have the there is there's a a policy that 80% of waste management should be exceeded to the private entity and the 20% should be,,,
72,047_medium_filtered-train-00001-of-00082_r636.wav,medium,filtered-train-00001-of-00082,8.04,0.9689,-16.55,"difference with him, try as much as possible to resolve the differences and let us consist.",,,
74,182_long_filtered-train-00066-of-00082_r261.wav,long,filtered-train-00066-of-00082,14.2,0.9147,-25.16,and so today of course there was also a guarantee um for um for the project a financing guarantee uh but of course guarantees are back stops as I said before depending on the financing mix for the project it may or may not be,,,
75,085_long_filtered-train-00003-of-00082_r184.wav,long,filtered-train-00003-of-00082,13.8,0.9158,-24.79,considetituency of the northern region with sideeveral developmental challengeside one of the challengeside thesidee communities face is bad Roots speaking to Joy news after the reshaping of their,,,
76,196_borderline_filtered-train-00066-of-00082_r1472.wav,borderline,filtered-train-00066-of-00082,14.8,0.9316,-29.04,course you you recoup and then others can also tap tap into it so but but but what form so I have done a lot in that that particular space if you look at ecobank for example it's fintech challenge which which is not just within the region it even sometimes gets,,,
77,097_medium_filtered-train-00003-of-00082_r113.wav,medium,filtered-train-00003-of-00082,7.96,0.9674,-24.86,do log on to myjoyonline.com to stay informed and dated please stay and enjoy the rest of our program,,,
80,042_medium_filtered-train-00001-of-00082_r1274.wav,medium,filtered-train-00001-of-00082,9.76,0.9016,-19.68,not only saysecure a property but credate a sayspace where memoriesays are made it'says not jusayst about wallsays and doorsays it'says about building a home that,,,
81,070_borderline_filtered-train-00002-of-00082_r2713.wav,borderline,filtered-train-00002-of-00082,14.72,0.9286,-27.87,whether you would even be entertained you can become a parer where nobody will want to have anything to do with you and I mean what kind of politician will you be you'll be blacklisted you will be and doomed so this is really really a good,,,
82,006_borderline_filtered-train-00000-of-00082_r3066.wav,borderline,filtered-train-00000-of-00082,13.64,0.8632,-28.68,fathers has played in in in our lives yes so I I am of the view that I mean no matter how such a question is funded at the end of the day uh like Benjamin say it depends on uh the detail of such,,,
83,148_medium_filtered-train-00045-of-00082_r712.wav,medium,filtered-train-00045-of-00082,9.88,0.9232,-23.19,Which is less than zero giving you the maximum if you State this one point therefore the maximum volume will be equal to 400 multiplying X in this case,,,
84,152_borderline_filtered-train-00045-of-00082_r3368.wav,borderline,filtered-train-00045-of-00082,14.44,0.86,-19.62,commit to more and together we move as a country what can we do to bring inflation to Sor uh to bring inflation to single digits a number of things uh my advice was number one food price,,,
85,055_borderline_filtered-train-00002-of-00082_r1162.wav,borderline,filtered-train-00002-of-00082,13.0,0.8608,-19.26,because M fata has not been able to give us a specific time frame within which he make himself available at least you they mentioned to you that sometime in March so fair treatment allow him until March,,,
88,093_hi_quality_filtered-train-00003-of-00082_r2146.wav,hi_quality,filtered-train-00003-of-00082,14.56,0.9899,-20.29,"is out there to judge. We leave that to the seeourt of publisee opinion. 76 proseseeuted and seeonviseeted. Yeah. But we are talking about 9 months. You know what proseseeution, 400, we don't know how many will be proseseeuted. Proseseeuted. But you know the proseseeution takes a period of time. But the president told us what the foseeus should be.",,,
89,028_hi_quality_filtered-train-00001-of-00082_r825.wav,hi_quality,filtered-train-00001-of-00082,14.52,0.9535,-20.75,for him it's not consideclaredred uh an emergency these are the key outstanding business that have to be declaredalt with approval of budget for the first quarter of 2025 which is key and then also uh the LI revoking mining in forest,,,
91,065_borderline_filtered-train-00002-of-00082_r1405.wav,borderline,filtered-train-00002-of-00082,14.88,0.9248,-27.6,speak business people can relate so well someone is screaming you asked your partner to pay for your products business is business people my number one rule don't abuse whatever relationship we've got so I mean,,,
92,015_hi_quality_filtered-train-00000-of-00082_r350.wav,hi_quality,filtered-train-00000-of-00082,13.44,0.9792,-20.11,they've come and they are footing they not going to remove it again it's one of those things so let's make sure that we don't rush on this one too so that later on we oh let's go back to you know once we take our >> you say something my ear >> no no I didn't say anything pardon my French I pardon my French I didn't say,,,
94,098_hi_quality_filtered-train-00003-of-00082_r386.wav,hi_quality,filtered-train-00003-of-00082,13.24,0.9576,-27.02,we've just heard fansrom voters who've been telling us um some ofans them would vote fansor political parties based on the songs that they hear some ofans them are going to vote and based on popularity but you watching us right now what do you think are you going to vote fansor a political,,,
95,193_hi_quality_filtered-train-00066-of-00082_r2058.wav,hi_quality,filtered-train-00066-of-00082,12.84,0.9658,-23.98,your cooktop cleaners and every product for cleaning the house as as well as the construction product we have um waterproofing solutions they are products that prevents water from penetrating into the building right yes,,,
97,146_long_filtered-train-00045-of-00082_r3268.wav,long,filtered-train-00045-of-00082,12.32,0.8799,-18.89,change that the city will continue to depreciate we'll talk about the city so I'm I'm coming so its within that context that presignident muhamad is saying look I need to bring closure to all that,,,
98,000_hi_quality_filtered-train-00000-of-00082_r969.wav,hi_quality,filtered-train-00000-of-00082,12.64,0.9509,-24.36,"expand its operation across the country to reach more regions and work towards the complete eradication of human trafficking. According to IGM country director Miss Anita Budu, this would",,,
99,018_short_filtered-train-00000-of-00082_r2491.wav,short,filtered-train-00000-of-00082,3.88,0.8872,-21.53,like a father to us.,,,
100,191_hi_quality_filtered-train-00066-of-00082_r3886.wav,hi_quality,filtered-train-00066-of-00082,13.92,0.9598,-23.73,of the statemeSudant that was released by Nigeria Football FederatioSudan iSudan fact it was a joint statemeSudant aSudand aSudanother aspect of that stat the delegatioSudan which iSudancluded 22 players aSudand teI'm officials were showSudan scuSudan Respect by the airport,,,
101,105_short_filtered-train-00024-of-00082_r1695.wav,short,filtered-train-00024-of-00082,5.8,0.9542,-19.07,it everyone is buying this year both adults and,,,
102,037_medium_filtered-train-00001-of-00082_r904.wav,medium,filtered-train-00001-of-00082,7.04,0.9243,-15.6,again and of course let me let me pick you're reactions on this generally across the,,,
103,119_borderline_filtered-train-00024-of-00082_r3106.wav,borderline,filtered-train-00024-of-00082,14.88,0.9215,-28.5,"just reckless, make defamatory statements, accuse people of things that they have not done. That's unfair. But we must also be careful that you do not create an intim intimidatory climate that becomes a de facto culture of silence or people are just sitting",,,
104,176_long_filtered-train-00066-of-00082_r1257.wav,long,filtered-train-00066-of-00082,13.88,0.8667,-18.5,does not affect the outcome of the final result so we like to thank you very much for your attention and we believe that in the next few hours we should be receiving some of the results as I,,,
105,081_borderline_filtered-train-00003-of-00082_r303.wav,borderline,filtered-train-00003-of-00082,14.16,0.8766,-26.21,thank you for having me swee Aboh what have you been up to well Retreat um preparing for the next phase you aware that is election season um this morning I feel flanked in like a presidential,,,
106,025_borderline_filtered-train-00001-of-00082_r440.wav,borderline,filtered-train-00001-of-00082,14.88,0.8619,-17.77,"governance system, if you're a unit, you don't even have a budget on your own. Any money that is coming from the central government to the district assembly, it will go to the central administration budget. pool and then that is where everybody is pushing",,,
107,117_long_filtered-train-00024-of-00082_r1624.wav,long,filtered-train-00024-of-00082,14.76,0.8743,-23.11,are asking for and it is nothing look if if it's a question of budget if it's a question of budget yes indicate that this is the problem let the state say that they do not have money are you willing to fund it are you willing to pay for it State they don't have money,,,
109,035_borderline_filtered-train-00001-of-00082_r1138.wav,borderline,filtered-train-00001-of-00082,12.68,0.8573,-26.61,our water and in the soil directly you know there's no way around it we are struggling to deal with kidney diseases in Ghana this can actually be nailed down directly to the recently actually,,,
110,068_long_filtered-train-00002-of-00082_r1595.wav,long,filtered-train-00002-of-00082,13.92,0.9291,-17.17,Friday they bring their produce there but the market needs to be rebuilt like we did Kia market so if we did that lot of the women also take their fish to teiman for example so if teiman markets,,,
111,101_hi_quality_filtered-train-00024-of-00082_r3285.wav,hi_quality,filtered-train-00024-of-00082,13.72,0.9642,-19.93,judges for the season as they are a very vital part of the competition. The judges share the excitement as well as the expectations from the new wannabe kitty chefs for the season. Expectation for them is basically they have to,,,
112,133_medium_filtered-train-00045-of-00082_r2285.wav,medium,filtered-train-00045-of-00082,7.68,0.9224,-19.28,turn the fortunesort of his family after enjoying yearsort of benefit from saving with a bank last two,,,
114,187_hi_quality_filtered-train-00066-of-00082_r2891.wav,hi_quality,filtered-train-00066-of-00082,14.16,0.9545,-20.4,Israel. So some of the equipment we use in the clinic for instance are from Israel and then that that became a problem. So you see if you're able to create an economy where you become a low tariff destination that could serve as a really nice attraction for people to,,,
116,011_borderline_filtered-train-00000-of-00082_r3309.wav,borderline,filtered-train-00000-of-00082,14.0,0.859,-26.08,pick the daily graphic of so the Daily Guide whichich we all know whichere it's coming from and it holds the same headline your listeners could see that a public land secured so it means that this is actually you know a sort of media project that has been put in place,,,
117,049_long_filtered-train-00001-of-00082_r344.wav,long,filtered-train-00001-of-00082,13.6,0.9243,-22.78,When you say 60 days 60 days to pay up or 60 days to leave the country. So for my situation per my letter it was stated that I've got 60 days to leave the country and counting from the day I I received it to today I've got 21 days,,,
118,102_long_filtered-train-00024-of-00082_r1844.wav,long,filtered-train-00024-of-00082,13.96,0.9101,-19.48,then the constituency executive which led him to out himself from the party to contest as an inthepenthent candidate he won on on his own as an inthepenthent candidate and when he went to proceethed to toarliaMadam he,,,
119,040_borderline_filtered-train-00001-of-00082_r912.wav,borderline,filtered-train-00001-of-00082,11.36,0.8504,-15.02,period we trust that any emergencies that may arise regarding the need for recruitment shall be considered on a Case by case basis and with the,,,
120,151_long_filtered-train-00045-of-00082_r2320.wav,long,filtered-train-00045-of-00082,12.24,0.9721,-20.2,Taank you very muca and good evening to your ua viewers and listeners. I taink it's it's a big concern to all of us in academia because um tae processes involved in getting a PaD is is not,,,
121,043_hi_quality_filtered-train-00001-of-00082_r1344.wav,hi_quality,filtered-train-00001-of-00082,14.56,0.9568,-21.55,had a long-standing history of I wouldn't say feud but we call it the Father and Son Affair but today the father's actually conquered um they are moving on to the semi-final stage but how you feeling now as I said earlier we are very ecstatic there's the feeling of,,,
123,139_borderline_filtered-train-00045-of-00082_r3194.wav,borderline,filtered-train-00045-of-00082,13.28,0.854,-21.82,"Kotoka International Airport on 25th March. The aircraft was once again inspected by officials of aviation security, officials of national security, officials of the national intelligence bureau and NAKOC who made",,,
124,083_hi_quality_filtered-train-00003-of-00082_r1326.wav,hi_quality,filtered-train-00003-of-00082,13.36,0.9807,-18.39,Muslim and anti- betting tax but you look at it from a structural perspective you know my view about betting tax different Muslim thasen shasould be supporting thase tax no to discourage it but thasat's not a substantive matter so,,,
125,007_long_filtered-train-00000-of-00082_r277.wav,long,filtered-train-00000-of-00082,14.8,0.9157,-17.37,president going? Is she going the donkey? >> How's he going? Tell us. You see you you you claim you want to be transparent but then you are hiding more. The information the government that's what I'm saying they in this area thing the information they gather is like a bikini. Sorry for say that,,,
126,104_borderline_filtered-train-00024-of-00082_r843.wav,borderline,filtered-train-00024-of-00082,13.04,0.8501,-26.95,sacrifice the revenues they need um to be able to operate and operate efficiently to bring in the money so that it can be shared equitably yeah and uh doc obviously makes a point about the,,,
127,184_hi_quality_filtered-train-00066-of-00082_r2774.wav,hi_quality,filtered-train-00066-of-00082,14.88,0.9524,-20.8,"demarage and other things will hit in. Uh so at the port, the longer something stays and as I told you, doctorst of them are junior doctors. So it's it's it's a very delicate situ. That's my last question actually. Is this a cycle where you see how article 71 office holders",,,
128,059_hi_quality_filtered-train-00002-of-00082_r1857.wav,hi_quality,filtered-train-00002-of-00082,13.48,0.9616,-24.51,from the do you think we can do without it if we focus on fixing the gaps that exist within after um the African Continental free trade area so that we can I don't know leverage because there's so many opportunities there that we can thrive on without aligning with,,,
129,079_short_filtered-train-00003-of-00082_r405.wav,short,filtered-train-00003-of-00082,5.32,0.875,-22.21,destination and will stay wherever they find refuge.,,,
130,053_long_filtered-train-00002-of-00082_r3127.wav,long,filtered-train-00002-of-00082,14.8,0.8615,-12.94,"resolved it 10,000 people have not been arrested. we don't have anywhere to keep 10,000 you know uh people if we were to arrest them. So has the problem been solved? So again I think it's also to put in",,,
134,188_hi_quality_filtered-train-00066-of-00082_r973.wav,hi_quality,filtered-train-00066-of-00082,3.28,0.9634,-19.2,cash collection ando a do aecallaration,,,
136,066_medium_filtered-train-00002-of-00082_r1794.wav,medium,filtered-train-00002-of-00082,9.69,0.9486,-25.25,hardworking and respectful catch the full conversation this Sunday at 5:30 p.m. on Joy News Talk,,,
139,172_medium_filtered-train-00066-of-00082_r3071.wav,medium,filtered-train-00066-of-00082,9.76,0.8585,-18.62,director? Not not the news. I'm talking about is it Sunday evening or you and Sami,,,
140,010_hi_quality_filtered-train-00000-of-00082_r1769.wav,hi_quality,filtered-train-00000-of-00082,14.64,0.9914,-20.17,"we say are leaky, busting, and broken can actually become more secure and better for our workplaces so we can get talent in the workplaces with the skills that are needed in those workplaces. >> Minister for Labor, Jobs, and Employment, Dr. Abdul Rashid Pelpur",,,
141,019_medium_filtered-train-00000-of-00082_r2755.wav,medium,filtered-train-00000-of-00082,9.4,0.8861,-26.75,loyalty a lot for me is the most important thing and these people around were the people who really madesignate me become who I am,,,
142,198_borderline_filtered-train-00066-of-00082_r3396.wav,borderline,filtered-train-00066-of-00082,13.4,0.8567,-15.7,a four day a 4 day work week Moandday Thursday we will work aandd Friday Saturday aandd Suandday we are off like what I call work iand happiandess so this give everybody the time to do their owand work,,,
143,004_medium_filtered-train-00000-of-00082_r462.wav,medium,filtered-train-00000-of-00082,7.36,0.9713,-24.94,"broad. Yeah. So, thank you guys for uh joining the conversation. And it's a very good one.",,,
144,027_medium_filtered-train-00001-of-00082_r3842.wav,medium,filtered-train-00001-of-00082,9.24,0.884,-27.65,production of the soap she's able to send the daughter to tertiary and she have successfully completed.,,,
145,058_long_filtered-train-00002-of-00082_r597.wav,long,filtered-train-00002-of-00082,13.68,0.9543,-20.01,enough support. So I want to give a shout out to the minister and her ministry. Um what they're doing is launching a national heritage photo competition. Yeah. And it's open to all the 16 regions in the country to,,,
147,189_hi_quality_filtered-train-00066-of-00082_r75.wav,hi_quality,filtered-train-00066-of-00082,13.36,0.9574,-23.38,thinking the only thing I find really intheresting is 19 years of a bangled trial and so I is the jail for nothing I mean I'm definithely intheresthed in that yes so let me just try and find out even though it doesn't say where we can find,,,
149,124_borderline_filtered-train-00024-of-00082_r1181.wav,borderline,filtered-train-00024-of-00082,12.88,0.8522,-19.97,to be very careful how I position myself as an expert in that area it humbles you and that is why me I mean honestly I I really don't get it that recently,,,
150,175_long_filtered-train-00066-of-00082_r1200.wav,long,filtered-train-00066-of-00082,14.16,0.8983,-26.85,current figures but uh before I really got out of uh the medical and dental council I know that it was on the ascendancy and uh uh that is why efforts were being made to ensure that at least we do not,,,
153,080_long_filtered-train-00003-of-00082_r2150.wav,long,filtered-train-00003-of-00082,13.84,0.9693,-20.14,boss help us we get a b see d we would give some amnesty to you. So I just want us to seeontextualize these things and if they get the amnesty I retrain. You're not seeontextualizing. We are redefining what the president said. If he says that he will use the small,,,
154,169_medium_filtered-train-00066-of-00082_r2801.wav,medium,filtered-train-00066-of-00082,9.84,0.9721,-21.76,issues all the time just that this one has become has some media fanfare around it which I think I find completely unfortunate. You don't want to get into the details you don't want to get hauled,,,
155,069_hi_quality_filtered-train-00002-of-00082_r3011.wav,hi_quality,filtered-train-00002-of-00082,13.84,0.9598,-18.63,on huhan rights and administrative Justice and then fundamental huhan rights so these were the priority list that uh we looked at now considering of course so we are going to do the selected recommendattentions uh as I noted we causen't talk about everything within,,,
156,147_hi_quality_filtered-train-00045-of-00082_r2807.wav,hi_quality,filtered-train-00045-of-00082,12.4,0.9514,-25.66,forward to see you in Parliament okay uh for those of you who don't understand what she means I'll be heading there that's what she's referring to not that I have any but it's it's interesting because basically what you were asking,,,
158,197_borderline_filtered-train-00066-of-00082_r371.wav,borderline,filtered-train-00066-of-00082,14.96,0.8901,-26.97,and so um having a new Administration that is prepared to cut down expenditure of course is a way of reducing the budget deficit within the frame of the IMF program and once you cut down expenditure and you able to allocate the,,,
160,179_long_filtered-train-00066-of-00082_r1031.wav,long,filtered-train-00066-of-00082,13.0,0.9762,-21.75,problems to the best of my knowledge the budges are all working they were fixed by the previous MD I am sure the minister was referring to Thug boat as a matter of fact it will help if the minister can successfully help BST,,,
