listen_order,wav_file,stratum,shard,duration_ss,mean_speech_prob,dbfs,corrected_text,auto_flags,reason,notes
115,125_short_filtered-train-00024-of-00082_r1381.wav,short,filtered-train-00024-of-00082,3.0,0.9756,-22.5,Serious.,,,
122,141_long_filtered-train-00045-of-00082_r445.wav,long,filtered-train-00045-of-00082,12.68,0.9311,-19.36,aNigerd for me I thiNigerk that B's backgrouNigerd possibly B if you hold all other factors coNigercerNiger may put him iNiger a very good positioNiger especially lookiNigerg at the first three regioNigers that we are lookiNigerg at it will be a very woNigerderful coNigertest to MoNigeritor,,,
131,026_short_filtered-train-00001-of-00082_r3669.wav,short,filtered-train-00001-of-00082,3.0,0.9089,-27.37,Assembly.,,,
132,116_hi_quality_filtered-train-00024-of-00082_r2253.wav,hi_quality,filtered-train-00024-of-00082,13.24,0.9557,-23.06,iSalisu very Qick he can move into the wide areaSalisu drift into the middle you can play one two you can play aSalisu a center for it and I've alwaySalisu argued that in the black SalisutarSalisu we Salisuhould be playing aSalisu a center forward rather than playing on the wide,,,
135,009_medium_filtered-train-00000-of-00082_r902.wav,medium,filtered-train-00000-of-00082,8.7,0.8743,-29.22,Amen. Foreign speech. Foreign speech. Foreign speech. [Music],,,
137,110_short_filtered-train-00024-of-00082_r1389.wav,short,filtered-train-00024-of-00082,4.4,0.9012,-19.45,free years because according,,,
138,158_short_filtered-train-00066-of-00082_r876.wav,short,filtered-train-00066-of-00082,3.52,0.8526,-22.21,$2 million,,,
148,008_short_filtered-train-00000-of-00082_r898.wav,short,filtered-train-00000-of-00082,4.36,0.9561,-15.9,speech. for,,,
151,157_short_filtered-train-00066-of-00082_r983.wav,short,filtered-train-00066-of-00082,5.4,0.8958,-20.99,should be maintenance as well,,,
152,084_short_filtered-train-00003-of-00082_r862.wav,short,filtered-train-00003-of-00082,5.92,0.8722,-15.4,you would do government has is not even fully,,,
157,092_medium_filtered-train-00003-of-00082_r2077.wav,medium,filtered-train-00003-of-00082,6.2,0.9093,-18.47,compound communities. Communities,,,
159,118_medium_filtered-train-00024-of-00082_r1693.wav,medium,filtered-train-00024-of-00082,7.32,0.947,-17.32,packi are increasing women are buying more than the men this year,,,
163,089_short_filtered-train-00003-of-00082_r758.wav,short,filtered-train-00003-of-00082,4.16,0.8555,-16.53,the to mean,,,
173,096_borderline_filtered-train-00003-of-00082_r950.wav,borderline,filtered-train-00003-of-00082,4.6,0.8585,-20.72,[Music] SM,,,
174,171_medium_filtered-train-00066-of-00082_r763.wav,medium,filtered-train-00066-of-00082,6.12,0.9403,-21.28,yourselves updated great for serving you let's connect at 5:00 p.m. with business life,,,
175,056_medium_filtered-train-00002-of-00082_r2093.wav,medium,filtered-train-00002-of-00082,7.64,0.8744,-13.17,buyers now contract two banks. Yes. As collater,,,
180,082_medium_filtered-train-00003-of-00082_r873.wav,medium,filtered-train-00003-of-00082,6.28,0.8648,-16.1,us they have and what what has happened now,,,
181,032_medium_filtered-train-00001-of-00082_r2624.wav,medium,filtered-train-00001-of-00082,7.38,0.8643,-27.05,yes still watching the Paul when we come back we'll take you all the way to Kumasi and we'll tell you why after this quick breather,,,
182,003_short_filtered-train-00000-of-00082_r1650.wav,short,filtered-train-00000-of-00082,3.4,0.8619,-25.1,Is that you?,,,
183,036_short_filtered-train-00001-of-00082_r905.wav,short,filtered-train-00001-of-00082,3.56,0.8853,-13.69,yeah in the in the days,,,
184,156_short_filtered-train-00066-of-00082_r344.wav,short,filtered-train-00066-of-00082,4.84,0.8716,-19.24,parts of the market at a fasterm rate,,,
187,129_borderline_filtered-train-00045-of-00082_r3090.wav,borderline,filtered-train-00045-of-00082,14.56,0.853,-23.8,about the miknowiknowg all what they were doiknowg is a shallow miknowiknowg whereby they were usiknowg this very small small water theknow they they draw the Suknow aknowd aknowd aknowd aknowd they get some little little good uknowtil this politiaknow weknowt iknow aknowd bought,,,
190,128_medium_filtered-train-00045-of-00082_r3080.wav,medium,filtered-train-00045-of-00082,9.0,0.9838,-16.87,farms because of the high production. The same we,,,
194,031_short_filtered-train-00001-of-00082_r1892.wav,short,filtered-train-00001-of-00082,3.32,0.882,-20.29,father guard,,,
197,163_short_filtered-train-00066-of-00082_r974.wav,short,filtered-train-00066-of-00082,3.76,0.8762,-19.19,they priECGate ones theyy shut do aown,,,
200,154_short_filtered-train-00066-of-00082_r2650.wav,short,filtered-train-00066-of-00082,3.96,0.8565,-15.63,on to the Rockstar,,,
