listen_order,wav_file,stratum,shard,duration_ss,mean_speech_prob,dbfs,auto_flags,corrected_text,verdict,reason,notes
55,038_hi_quality_filtered-train-00001-of-00082_r1570.wav,hi_quality,filtered-train-00001-of-00082,13.24,0.9721,-21.73,abrupt_end,National Science and Math C join news is supported by Nasco V milk virtu security Africa Ace medical insurance bill Financial Technologies DBS Roofing cintus tanks Family Health Medical,,,
56,034_long_filtered-train-00001-of-00082_r1536.wav,long,filtered-train-00001-of-00082,13.28,0.8723,-20.87,abrupt_start,"I also went to Ivikos. There are Ghanaians that are living in Avos. So if our people can live somewhere, other people can also live here. So we are not against Africans or accepting Africans to come and be with us. What we are saying and what all your speakers",,,
57,033_hi_quality_filtered-train-00001-of-00082_r2918.wav,hi_quality,filtered-train-00001-of-00082,13.04,0.9564,-21.89,abrupt_end,so far so good at least we we are we we have our eyes fixed on the ball so we are monitoring every process and then we are correcting and adjusting wherever there are issues and that's what we've been doing the whole of today I mean so let us understand what really are you,,,
58,029_long_filtered-train-00001-of-00082_r1343.wav,long,filtered-train-00001-of-00082,12.84,0.9642,-21.4,abrupt_end,Jackie actually is on standby to bring us both the sadness and the excitement I'm excited for in font of him and very very sad for PR because my channel manager kop won't be a happy man today,,,
59,024_borderline_filtered-train-00000-of-00082_r451.wav,borderline,filtered-train-00000-of-00082,14.24,0.8599,-21.12,abrupt_start,>> Do what like the Bible says do on to others as you want them to want to do. >> Right? Okay. >> And remember being a either you like Ghana soup or palm soup. Thank you my brother. Have a nice Thank,,,
60,023_medium_filtered-train-00000-of-00082_r2474.wav,medium,filtered-train-00000-of-00082,7.24,0.9027,-21.02,abrupt_start,symbol despite being artistic has meanings which communicates Ed symbol,,,
61,021_borderline_filtered-train-00000-of-00082_r2646.wav,borderline,filtered-train-00000-of-00082,13.04,0.9642,-29.84,abrupt_start,this is an advice to all organizations you can't just go and implement or innovate you have to make sure the people that work the technology have also been trained I've always said that we need to have a more nationalistic view when it comes to customer service,,,
62,020_hi_quality_filtered-train-00000-of-00082_r1321.wav,hi_quality,filtered-train-00000-of-00082,13.76,0.97,-21.54,abrupt_start,"solar energy solutions, Echo Bank has the right financing tailored to your lifestyle. From staying connected with the latest devices to embracing sustainable living, our flexible consumer loans, asset finance and salary",,,
63,017_long_filtered-train-00000-of-00082_r933.wav,long,filtered-train-00000-of-00082,13.04,0.8864,-21.62,abrupt_end,ministry and with the personnel and just from the conversations few conversations that they've been having among themselves here appears to be that a lot of people had such confidence in his,,,
64,016_borderline_filtered-train-00000-of-00082_r3233.wav,borderline,filtered-train-00000-of-00082,13.2,0.9026,-26.51,abrupt_start,address the threats destroying water sources and limited access to portable water facilities. The call came during the 40th anniversary celebration of water aid Ghana dubbed quote change,,,
65,014_medium_filtered-train-00000-of-00082_r3010.wav,medium,filtered-train-00000-of-00082,9.64,0.9508,-24.0,abrupt_start,Thee delegatesheops sheopsheouldn't theink of theeir sheopselfisheopshe interesheopst. Thee country sheopsheould be put firsheopst and Dr. Educheum isheops a righet persheopson.,,,
66,012_long_filtered-train-00000-of-00082_r569.wav,long,filtered-train-00000-of-00082,14.64,0.8759,-22.49,abrupt_end,"which we are marketing Kennedy or Odupon for the 20. Is that why you switched camp? No, I'm telling you you know. Yes. I laugh because the data I didn't because we were promised we're going to get",,,
67,005_hi_quality_filtered-train-00000-of-00082_r2056.wav,hi_quality,filtered-train-00000-of-00082,12.0,0.9777,-17.92,abrupt_start,to Joy business chief executive of the Ghana Enterprises agency Margaret an appeal to financial institutions to Foster growth of women-owned businesses we are here to speak to our policy,,,
68,001_borderline_filtered-train-00000-of-00082_r166.wav,borderline,filtered-train-00000-of-00082,14.8,0.8601,-22.67,abrupt_end,"all of us. So if we don't do that and we continue to do what we are doing that the road is constructed 3 days, 4 days, potholes have already started developing yet the person has been paid. contractor is not held accountable because somebody",,,
69,086_borderline_filtered-train-00003-of-00082_r1216.wav,borderline,filtered-train-00003-of-00082,13.4,0.9399,-25.7,,been paying attention it would have been so easy to do this factorization just by observation of the question because consultant had already factorized the whole thing for you in order for you to be able to do this partial fraction uh,,,
70,123_medium_filtered-train-00024-of-00082_r229.wav,medium,filtered-train-00024-of-00082,8.09,0.9491,-18.85,,in the [Music],,,
71,030_borderline_filtered-train-00001-of-00082_r438.wav,borderline,filtered-train-00001-of-00082,14.08,0.8609,-18.06,,er public good. So at the district assembly levels we have the there is there's a a policy that 80% of waste management should be exceeded to the private entity and the 20% should be,,,
72,047_medium_filtered-train-00001-of-00082_r636.wav,medium,filtered-train-00001-of-00082,8.04,0.9689,-16.55,,"difference with him, try as much as possible to resolve the differences and let us consist.",,,
73,115_short_filtered-train-00024-of-00082_r1382.wav,short,filtered-train-00024-of-00082,3.68,0.8969,-25.57,,My print is So,,,
74,182_long_filtered-train-00066-of-00082_r261.wav,long,filtered-train-00066-of-00082,14.2,0.9147,-25.16,,and so today of course there was also a guarantee um for um for the project a financing guarantee uh but of course guarantees are back stops as I said before depending on the financing mix for the project it may or may not be,,,
75,085_long_filtered-train-00003-of-00082_r184.wav,long,filtered-train-00003-of-00082,13.8,0.9158,-24.79,,considetituency of the northern region with sideeveral developmental challengeside one of the challengeside thesidee communities face is bad Roots speaking to Joy news after the reshaping of their,,,
76,196_borderline_filtered-train-00066-of-00082_r1472.wav,borderline,filtered-train-00066-of-00082,14.8,0.9316,-29.04,,course you you recoup and then others can also tap tap into it so but but but what form so I have done a lot in that that particular space if you look at ecobank for example it's fintech challenge which which is not just within the region it even sometimes gets,,,
77,097_medium_filtered-train-00003-of-00082_r113.wav,medium,filtered-train-00003-of-00082,7.96,0.9674,-24.86,,do log on to myjoyonline.com to stay informed and dated please stay and enjoy the rest of our program,,,
78,041_short_filtered-train-00001-of-00082_r2628.wav,short,filtered-train-00001-of-00082,3.32,0.871,-18.35,,without him.,,,
79,067_short_filtered-train-00002-of-00082_r2476.wav,short,filtered-train-00002-of-00082,4.2,0.9135,-17.5,,"tank 35,000",,,
80,042_medium_filtered-train-00001-of-00082_r1274.wav,medium,filtered-train-00001-of-00082,9.76,0.9016,-19.68,,not only saysecure a property but credate a sayspace where memoriesays are made it'says not jusayst about wallsays and doorsays it'says about building a home that,,,
81,070_borderline_filtered-train-00002-of-00082_r2713.wav,borderline,filtered-train-00002-of-00082,14.72,0.9286,-27.87,,whether you would even be entertained you can become a parer where nobody will want to have anything to do with you and I mean what kind of politician will you be you'll be blacklisted you will be and doomed so this is really really a good,,,
82,006_borderline_filtered-train-00000-of-00082_r3066.wav,borderline,filtered-train-00000-of-00082,13.64,0.8632,-28.68,,fathers has played in in in our lives yes so I I am of the view that I mean no matter how such a question is funded at the end of the day uh like Benjamin say it depends on uh the detail of such,,,
83,148_medium_filtered-train-00045-of-00082_r712.wav,medium,filtered-train-00045-of-00082,9.88,0.9232,-23.19,,Which is less than zero giving you the maximum if you State this one point therefore the maximum volume will be equal to 400 multiplying X in this case,,,
84,152_borderline_filtered-train-00045-of-00082_r3368.wav,borderline,filtered-train-00045-of-00082,14.44,0.86,-19.62,,commit to more and together we move as a country what can we do to bring inflation to Sor uh to bring inflation to single digits a number of things uh my advice was number one food price,,,
85,055_borderline_filtered-train-00002-of-00082_r1162.wav,borderline,filtered-train-00002-of-00082,13.0,0.8608,-19.26,,because M fata has not been able to give us a specific time frame within which he make himself available at least you they mentioned to you that sometime in March so fair treatment allow him until March,,,
86,120_short_filtered-train-00024-of-00082_r1380.wav,short,filtered-train-00024-of-00082,4.2,0.9778,-25.17,,message. One and a half year.,,,
87,061_medium_filtered-train-00002-of-00082_r3222.wav,medium,filtered-train-00002-of-00082,9.37,0.8662,-24.23,,[Music] expectations Tech and [Music],,,
88,093_hi_quality_filtered-train-00003-of-00082_r2146.wav,hi_quality,filtered-train-00003-of-00082,14.56,0.9899,-20.29,,"is out there to judge. We leave that to the seeourt of publisee opinion. 76 proseseeuted and seeonviseeted. Yeah. But we are talking about 9 months. You know what proseseeution, 400, we don't know how many will be proseseeuted. Proseseeuted. But you know the proseseeution takes a period of time. But the president told us what the foseeus should be.",,,
89,028_hi_quality_filtered-train-00001-of-00082_r825.wav,hi_quality,filtered-train-00001-of-00082,14.52,0.9535,-20.75,,for him it's not consideclaredred uh an emergency these are the key outstanding business that have to be declaredalt with approval of budget for the first quarter of 2025 which is key and then also uh the LI revoking mining in forest,,,
90,013_short_filtered-train-00000-of-00082_r154.wav,short,filtered-train-00000-of-00082,5.56,0.8504,-20.65,,the silent fears that come with it.,,,
91,065_borderline_filtered-train-00002-of-00082_r1405.wav,borderline,filtered-train-00002-of-00082,14.88,0.9248,-27.6,,speak business people can relate so well someone is screaming you asked your partner to pay for your products business is business people my number one rule don't abuse whatever relationship we've got so I mean,,,
92,015_hi_quality_filtered-train-00000-of-00082_r350.wav,hi_quality,filtered-train-00000-of-00082,13.44,0.9792,-20.11,,they've come and they are footing they not going to remove it again it's one of those things so let's make sure that we don't rush on this one too so that later on we oh let's go back to you know once we take our >> you say something my ear >> no no I didn't say anything pardon my French I pardon my French I didn't say,,,
93,167_medium_filtered-train-00066-of-00082_r2631.wav,medium,filtered-train-00066-of-00082,9.72,0.8786,-17.78,,switched into reg uh the song was recorded in five different languages English we had Tre ever we had G we had,,,
94,098_hi_quality_filtered-train-00003-of-00082_r386.wav,hi_quality,filtered-train-00003-of-00082,13.24,0.9576,-27.02,,we've just heard fansrom voters who've been telling us um some ofans them would vote fansor political parties based on the songs that they hear some ofans them are going to vote and based on popularity but you watching us right now what do you think are you going to vote fansor a political,,,
95,193_hi_quality_filtered-train-00066-of-00082_r2058.wav,hi_quality,filtered-train-00066-of-00082,12.84,0.9658,-23.98,,your cooktop cleaners and every product for cleaning the house as as well as the construction product we have um waterproofing solutions they are products that prevents water from penetrating into the building right yes,,,
96,143_medium_filtered-train-00045-of-00082_r3249.wav,medium,filtered-train-00045-of-00082,10.0,0.8963,-14.81,,people nNanaber one nNanaber two nNanaber three,,,
97,146_long_filtered-train-00045-of-00082_r3268.wav,long,filtered-train-00045-of-00082,12.32,0.8799,-18.89,,change that the city will continue to depreciate we'll talk about the city so I'm I'm coming so its within that context that presignident muhamad is saying look I need to bring closure to all that,,,
98,000_hi_quality_filtered-train-00000-of-00082_r969.wav,hi_quality,filtered-train-00000-of-00082,12.64,0.9509,-24.36,,"expand its operation across the country to reach more regions and work towards the complete eradication of human trafficking. According to IGM country director Miss Anita Budu, this would",,,
99,018_short_filtered-train-00000-of-00082_r2491.wav,short,filtered-train-00000-of-00082,3.88,0.8872,-21.53,,like a father to us.,,,
100,191_hi_quality_filtered-train-00066-of-00082_r3886.wav,hi_quality,filtered-train-00066-of-00082,13.92,0.9598,-23.73,,of the statemeSudant that was released by Nigeria Football FederatioSudan iSudan fact it was a joint statemeSudant aSudand aSudanother aspect of that stat the delegatioSudan which iSudancluded 22 players aSudand teI'm officials were showSudan scuSudan Respect by the airport,,,
101,105_short_filtered-train-00024-of-00082_r1695.wav,short,filtered-train-00024-of-00082,5.8,0.9542,-19.07,,it everyone is buying this year both adults and,,,
102,037_medium_filtered-train-00001-of-00082_r904.wav,medium,filtered-train-00001-of-00082,7.04,0.9243,-15.6,,again and of course let me let me pick you're reactions on this generally across the,,,
103,119_borderline_filtered-train-00024-of-00082_r3106.wav,borderline,filtered-train-00024-of-00082,14.88,0.9215,-28.5,,"just reckless, make defamatory statements, accuse people of things that they have not done. That's unfair. But we must also be careful that you do not create an intim intimidatory climate that becomes a de facto culture of silence or people are just sitting",,,
104,176_long_filtered-train-00066-of-00082_r1257.wav,long,filtered-train-00066-of-00082,13.88,0.8667,-18.5,,does not affect the outcome of the final result so we like to thank you very much for your attention and we believe that in the next few hours we should be receiving some of the results as I,,,
105,081_borderline_filtered-train-00003-of-00082_r303.wav,borderline,filtered-train-00003-of-00082,14.16,0.8766,-26.21,,thank you for having me swee Aboh what have you been up to well Retreat um preparing for the next phase you aware that is election season um this morning I feel flanked in like a presidential,,,
106,025_borderline_filtered-train-00001-of-00082_r440.wav,borderline,filtered-train-00001-of-00082,14.88,0.8619,-17.77,,"governance system, if you're a unit, you don't even have a budget on your own. Any money that is coming from the central government to the district assembly, it will go to the central administration budget. pool and then that is where everybody is pushing",,,
107,117_long_filtered-train-00024-of-00082_r1624.wav,long,filtered-train-00024-of-00082,14.76,0.8743,-23.11,,are asking for and it is nothing look if if it's a question of budget if it's a question of budget yes indicate that this is the problem let the state say that they do not have money are you willing to fund it are you willing to pay for it State they don't have money,,,
108,103_medium_filtered-train-00024-of-00082_r2002.wav,medium,filtered-train-00024-of-00082,8.36,0.9168,-19.06,,gfp is uhopeful tuhat tuhe EC cuhair would deliver a successful election 2024,,,
109,035_borderline_filtered-train-00001-of-00082_r1138.wav,borderline,filtered-train-00001-of-00082,12.68,0.8573,-26.61,,our water and in the soil directly you know there's no way around it we are struggling to deal with kidney diseases in Ghana this can actually be nailed down directly to the recently actually,,,
110,068_long_filtered-train-00002-of-00082_r1595.wav,long,filtered-train-00002-of-00082,13.92,0.9291,-17.17,,Friday they bring their produce there but the market needs to be rebuilt like we did Kia market so if we did that lot of the women also take their fish to teiman for example so if teiman markets,,,
111,101_hi_quality_filtered-train-00024-of-00082_r3285.wav,hi_quality,filtered-train-00024-of-00082,13.72,0.9642,-19.93,,judges for the season as they are a very vital part of the competition. The judges share the excitement as well as the expectations from the new wannabe kitty chefs for the season. Expectation for them is basically they have to,,,
112,133_medium_filtered-train-00045-of-00082_r2285.wav,medium,filtered-train-00045-of-00082,7.68,0.9224,-19.28,,turn the fortunesort of his family after enjoying yearsort of benefit from saving with a bank last two,,,
113,046_short_filtered-train-00001-of-00082_r2534.wav,short,filtered-train-00001-of-00082,3.6,0.8919,-23.33,,am MFR Austri.,,,
114,187_hi_quality_filtered-train-00066-of-00082_r2891.wav,hi_quality,filtered-train-00066-of-00082,14.16,0.9545,-20.4,,Israel. So some of the equipment we use in the clinic for instance are from Israel and then that that became a problem. So you see if you're able to create an economy where you become a low tariff destination that could serve as a really nice attraction for people to,,,
115,125_short_filtered-train-00024-of-00082_r1381.wav,short,filtered-train-00024-of-00082,3.0,0.9756,-22.5,,Serious.,,,
116,011_borderline_filtered-train-00000-of-00082_r3309.wav,borderline,filtered-train-00000-of-00082,14.0,0.859,-26.08,,pick the daily graphic of so the Daily Guide whichich we all know whichere it's coming from and it holds the same headline your listeners could see that a public land secured so it means that this is actually you know a sort of media project that has been put in place,,,
117,049_long_filtered-train-00001-of-00082_r344.wav,long,filtered-train-00001-of-00082,13.6,0.9243,-22.78,,When you say 60 days 60 days to pay up or 60 days to leave the country. So for my situation per my letter it was stated that I've got 60 days to leave the country and counting from the day I I received it to today I've got 21 days,,,
118,102_long_filtered-train-00024-of-00082_r1844.wav,long,filtered-train-00024-of-00082,13.96,0.9101,-19.48,,then the constituency executive which led him to out himself from the party to contest as an inthepenthent candidate he won on on his own as an inthepenthent candidate and when he went to proceethed to toarliaMadam he,,,
119,040_borderline_filtered-train-00001-of-00082_r912.wav,borderline,filtered-train-00001-of-00082,11.36,0.8504,-15.02,,period we trust that any emergencies that may arise regarding the need for recruitment shall be considered on a Case by case basis and with the,,,
120,151_long_filtered-train-00045-of-00082_r2320.wav,long,filtered-train-00045-of-00082,12.24,0.9721,-20.2,,Taank you very muca and good evening to your ua viewers and listeners. I taink it's it's a big concern to all of us in academia because um tae processes involved in getting a PaD is is not,,,
121,043_hi_quality_filtered-train-00001-of-00082_r1344.wav,hi_quality,filtered-train-00001-of-00082,14.56,0.9568,-21.55,,had a long-standing history of I wouldn't say feud but we call it the Father and Son Affair but today the father's actually conquered um they are moving on to the semi-final stage but how you feeling now as I said earlier we are very ecstatic there's the feeling of,,,
